Shop Number,Item Code,Item Button,Act Flag,Shop Name,Menu Item Name,Price
803206,V10032900019,5,Y,"ราดหน้า,สุกี้",ราดหน้าเส้นใหญ่ ทะเล,60
803206,V10030500239,6,Y,"ราดหน้า,สุกี้",บะหมี่กรอบราดหน้าทะเล,65
803206,V10030500169,7,Y,"ราดหน้า,สุกี้",ผัดซี้อิ้ว,60
803206,V10040200138,8,Y,"ราดหน้า,สุกี้",สุกี้น้ำหมู,55
803206,V10030500205,9,Y,"ราดหน้า,สุกี้",สุกี้น้ำทะเล,60
803206,V10033100199,10,Y,"ราดหน้า,สุกี้",สุกี้ไก่ แห้ง,60
803206,V10040200140,11,Y,"ราดหน้า,สุกี้",สุกี้หมูแห้ง,60
803206,V10040500144,12,Y,"ราดหน้า,สุกี้",สุกี้แห้งทะเล,50
803206,V10030500179,13,Y,"ราดหน้า,สุกี้",กระเพาะปลา,65
803206,V10031600004,14,Y,"ราดหน้า,สุกี้",พิเศษเพิ่ม,10
803206,V10033100278,15,Y,"ราดหน้า,สุกี้",ใส่กล่องกลับบ้านเพิ่ม,7
803206,V10042200020,16,Y,"ราดหน้า,สุกี้",ผัดซีอิ๋วทะเล,65
803206,V16083100017,17,Y,"ราดหน้า,สุกี้",ราดหน้าเส้นกรอบคะน้าหมูฮ่องกง,75
803206,V10033100200,18,Y,"ราดหน้า,สุกี้",สุกี้ไก่ น้ำ,45
803206,V251117002,100,Y,"ราดหน้า,สุกี้",Delivery,10
803207,V10032400103,1,Y,เจมส์กะเพราถาด,ข้าวกระเพรากุ้ง/หมึก,70
803207,V10031700010,2,Y,เจมส์กะเพราถาด,ข้าวกระเพราทะเล,75
803207,V10040100195,3,Y,เจมส์กะเพราถาด,ข้าวกระเพรารวมมิตร,75
803207,V10033100453,4,Y,เจมส์กะเพราถาด,ข้าวราดกระเพรารวมมิตร,85
803207,V15060800002,5,Y,เจมส์กะเพราถาด,ข้าวคะน้าหมู / ไก่,60
803207,V10040700073,6,Y,เจมส์กะเพราถาด,ข้าวไก่กระเทียม,60
803207,V10030500392,7,Y,เจมส์กะเพราถาด,ข้าวหมูกระเทียม,60
803207,V10030500377,8,Y,เจมส์กะเพราถาด,ข้าวคะน้าหมูกรอบ,70
803207,V230723088,9,Y,เจมส์กะเพราถาด,คะน้าทะเลรวม,75
803207,V10030500406,10,Y,เจมส์กะเพราถาด,ข้าวผัดพริกแกงหมู,60
803207,V230723091,11,Y,เจมส์กะเพราถาด,พริกแกงหมูกรอบ,70
803207,V10033000245,12,Y,เจมส์กะเพราถาด,ผัดพริกแกงทะเล,70
803207,V10031800030,13,Y,เจมส์กะเพราถาด,ข้าวเปล่า/ไข่ดาว,12
803207,P230723136003,14,Y,เจมส์กะเพราถาด,ไข่เยี่ยวม้า,15
803207,V10033100278,15,Y,เจมส์กะเพราถาด,ใส่กล่องกลับบ้านเพิ่ม,7
803207,V251117002,16,Y,เจมส์กะเพราถาด,Delivery,10
803207,V10040700215,17,Y,เจมส์กะเพราถาด,ข้าวกระเพราหมู,60
803207,V10032400110,18,Y,เจมส์กะเพราถาด,ข้าวกระเพราไก่,55
803207,V10032500043,19,Y,เจมส์กะเพราถาด,เพิ่มพิเศษ,15
803207,V10033100209,20,Y,เจมส์กะเพราถาด,ข้าวกระเพราไข่เยี่ยวม้า,65
803207,V15112400002,21,Y,เจมส์กะเพราถาด,ข้าวกระเพราหมูกรอบ,70
803208,V10042100262,1,Y,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวเรือ,69
803208,V10042100263,2,Y,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวเรือ พิเศษ,79
803208,V10040200362,3,Y,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวน้ำตกหมู,87
803208,V10041900008,4,Y,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวน้ำตก,107
803208,V10042100106,5,Y,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวน้ำตก,127
803208,V10042300009,6,Y,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวแห้ง,99
803208,V10030500412,7,Y,ก๋วยเตี๋ยวเรือ,เกาเหลา,79
803208,V10040800301,8,Y,ก๋วยเตี๋ยวเรือ,เกาเหลาพิเศษ,89
803208,V10040100005,9,Y,ก๋วยเตี๋ยวเรือ,เกาเหลาเนื้อ,109
803208,V10040100267,10,Y,ก๋วยเตี๋ยวเรือ,เมนูชุด,129
803208,V10040100268,11,Y,ก๋วยเตี๋ยวเรือ,เมนูชุด,149
803208,V10042600020,12,Y,ก๋วยเตี๋ยวเรือ,เมนูชุด,159
803208,V10042600021,13,Y,ก๋วยเตี๋ยวเรือ,เมนูชุด,179
803208,V10040100226,14,Y,ก๋วยเตี๋ยวเรือ,ชุดน้ำพริก,250
803208,V10032300061,15,Y,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,18
803208,V10032400069,16,Y,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,28
803208,V10032400091,17,Y,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,35
803208,V10032500043,18,Y,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,40
803208,V10040900148,19,Y,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,60
803208,V10040100227,20,Y,ก๋วยเตี๋ยวเรือ,ชุดน้ำพริก,89
803208,V10031100055,21,Y,ก๋วยเตี๋ยวเรือ,แคบหมู,25
803208,V14122900001,22,Y,ก๋วยเตี๋ยวเรือ,ราเมง,89
803208,V15052900002,23,Y,ก๋วยเตี๋ยวเรือ,ราเมงน้ำ,99
803208,V10033100278,24,Y,ก๋วยเตี๋ยวเรือ,ใส่กล่องกลับบ้านเพิ่ม,8
803208,V10032400063,25,Y,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,20
803209,V10030500042,1,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวหมกไก่,55
803209,V10033100487,2,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวหมกไก่,59
803209,V10030500341,3,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวไข่เจียว,40
803209,V10032400110,4,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวกระเพราไก่,49
803209,V10040700073,5,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวไก่กระเทียม,49
803209,V241008005,6,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวไก่คั่วพริกเกลือ,55
803209,V10033100222,7,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวผัดไก่,55
803209,V10032400104,8,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวผัดผงกะหรี่,55
803209,V10030500169,9,Y,ข้าวหมกไก่ย่างบังฟารุก,ผัดซี้อิ้ว,55
803209,V10040100398,10,Y,ข้าวหมกไก่ย่างบังฟารุก,ราดหน้า,55
803209,V10040300033,11,Y,ข้าวหมกไก่ย่างบังฟารุก,สปาเก็ตตี้,55
803209,V10031000113,12,Y,ข้าวหมกไก่ย่างบังฟารุก,ก๋วยเตี๋ยวคั่วไก่,55
803209,V10032500018,13,Y,ข้าวหมกไก่ย่างบังฟารุก,สุกี้ไก่,55
803209,V10060400020,14,Y,ข้าวหมกไก่ย่างบังฟารุก,ผัดไทไก่,69
803209,V10031000101,15,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวซอยไก่,59
803209,V10031000102,16,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวซอยเนื้อ,79
803209,V10040700225,17,Y,ข้าวหมกไก่ย่างบังฟารุก,ไข่ดาว,15
803209,V10040200222,18,Y,ข้าวหมกไก่ย่างบังฟารุก,ไข่เจียว,20
803209,V10033100242,19,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวหมกเปล่า,35
803209,V10030500512,20,Y,ข้าวหมกไก่ย่างบังฟารุก,ข้าวเปล่า(ข้าวหอมมะลิ),15
803209,V10102600014,21,Y,ข้าวหมกไก่ย่างบังฟารุก,เมนูอาหารชุด,89
803209,V13102800001,22,Y,ข้าวหมกไก่ย่างบังฟารุก,เมนูอาหารชุด,129
803209,V251117002,100,Y,ข้าวหมกไก่ย่างบังฟารุก,Delivery,10
803210,V14111000002,1,Y,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + แกงเขียวหวาน,70
803210,V15072100001,2,Y,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + แกงเลียง,70
803210,V14111000001,3,Y,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + แกงส้ม,70
803210,V15071400001,4,Y,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + แกงเห็ด,70
803210,V14052100001,5,Y,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + แกงป่า,70
803210,V18061400001,6,Y,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + ต้มข่าไก่,70
803210,V17101600002,7,Y,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + ต้มแซ่บ,70
803210,V14111000003,8,Y,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + ต้มยำ,70
803210,V12112800004,9,Y,ข้าวทิพย์อาหารชุด,เซ็ทข้าวไข่เจียว+ต้มจืดเต้าหู้หมูสับ,70
803210,V10030500371,10,Y,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียวหมูสับ,50
803210,V10033100278,11,Y,ข้าวทิพย์อาหารชุด,ใส่กล่องกลับบ้านเพิ่ม,7
803210,V251117002,100,Y,ข้าวทิพย์อาหารชุด,Delivery,10
803211,V10040500046,1,Y,ก๋วยเตี๋ยวเป็ด,ก๋วยเตี๋ยวเป็ดตุ๋น,65
803211,V10040500248,2,Y,ก๋วยเตี๋ยวเป็ด,เกาเหลาเป็ด,75
803211,V10031700007,3,Y,ก๋วยเตี๋ยวเป็ด,ข้าวหน้าเป็ด,65
803211,V16091300001,4,Y,ก๋วยเตี๋ยวเป็ด,ข้าวกระเพราเป็ด,75
803211,V10032900032,5,Y,ก๋วยเตี๋ยวเป็ด,มาม่าผัด,75
803211,V16112500001,6,Y,ก๋วยเตี๋ยวเป็ด,เป็ดพะโล้,90
803211,V10040500057,8,Y,ก๋วยเตี๋ยวเป็ด,ข้าวเปล่า,10
803211,V10032400031,9,Y,ก๋วยเตี๋ยวเป็ด,พิเศษเพิ่ม,10
803211,V10033100278,10,Y,ก๋วยเตี๋ยวเป็ด,ใส่กล่องกลับบ้านเพิ่ม,7
803211,V10031700009,11,Y,ก๋วยเตี๋ยวเป็ด,บะหมี่เป็ด,70
803211,V10032400055,12,Y,ก๋วยเตี๋ยวเป็ด,กระเพราไข่เยี่ยวม้า/กระเพราเป็ด,100
803211,V10042000046,13,Y,ก๋วยเตี๋ยวเป็ด,เครื่องใน,100
803211,V10040500233,14,Y,ก๋วยเตี๋ยวเป็ด,ไข่ต้ม / ไข่ดาว,10
803211,V251117002,100,Y,ก๋วยเตี๋ยวเป็ด,Delivery,10
803212,V10040100069,1,Y,ข้าวผัดกระทะเหล็ก,กับข้าวตามสั่ง,50
803212,V10033100201,2,Y,ข้าวผัดกระทะเหล็ก,กับข้าวตามสั่ง,55
803212,V10030500486,3,Y,ข้าวผัดกระทะเหล็ก,กับข้าวตามสั่ง,60
803212,V10033000182,4,Y,ข้าวผัดกระทะเหล็ก,ต้มยำกุ้ง,65
803212,V10033100278,5,Y,ข้าวผัดกระทะเหล็ก,ใส่กล่องกลับบ้านเพิ่ม,7
803212,V10040800006,6,Y,ข้าวผัดกระทะเหล็ก,Promotion A,20
803212,V10040100209,7,Y,ข้าวผัดกระทะเหล็ก,ข้าวผัดปลากระป๋อง,45
803212,V21062500001,8,Y,ข้าวผัดกระทะเหล็ก,ข้าวคั่วพริกเกลือหมูกรอบ / กุ้ง,65
803212,V10040200300,9,Y,ข้าวผัดกระทะเหล็ก,ข้าวตามสั่งอื่นๆ,55
803212,V10031800029,10,Y,ข้าวผัดกระทะเหล็ก,เกี๊ยวซ่า,55
803212,V14112100001,11,Y,ข้าวผัดกระทะเหล็ก,ข้าวไข่เจียว + แกงชุด,89
803212,V10102600014,12,Y,ข้าวผัดกระทะเหล็ก,เมนูอาหารชุด,129
803212,V10030500326,13,Y,ข้าวผัดกระทะเหล็ก,ข้าวเปล่า/ ไข่เจียว/ ไข่ดาว,10
803212,V10040900046,14,Y,ข้าวผัดกระทะเหล็ก,ข้าวผัด,40
803212,V10040700222,15,Y,ข้าวผัดกระทะเหล็ก,ข้าวตามสั่งอื่นๆ,70
803212,V10040200298,16,Y,ข้าวผัดกระทะเหล็ก,ข้าวตามสั่งอื่นๆ,65
803212,V10032500039,17,Y,ข้าวผัดกระทะเหล็ก,เมนูโปรโมชั่น,89
803212,V10032500040,18,Y,ข้าวผัดกระทะเหล็ก,เมนูโปรโมชั่น,99
803212,V10042000149,19,Y,ข้าวผัดกระทะเหล็ก,เมนูโปรโมชั่น,129
803216,V230104001,1,Y,ขนมหวาน น้ำแข็งใส,น้ำเต้าหู้นมสด,30
803216,V230104002,2,Y,ขนมหวาน น้ำแข็งใส,เฉาก๊วยน้ำลำไย,35
803216,V221108002,3,Y,ขนมหวาน น้ำแข็งใส,ลอดช่อง,35
803216,V10033000274,4,Y,ขนมหวาน น้ำแข็งใส,น้ำแข็งใส,35
803216,V10040200142,5,Y,ขนมหวาน น้ำแข็งใส,น้ำแข็งใสพิเศษ,50
803216,V10052200001,6,Y,ขนมหวาน น้ำแข็งใส,ซาลาเปา,60
803216,V230104004,7,Y,ขนมหวาน น้ำแข็งใส,รังนกในน้ำลำไย,99
803216,V10033100274,8,Y,ขนมหวาน น้ำแข็งใส,เพิ่มเครื่อง,15
803216,V10032400083,9,Y,ขนมหวาน น้ำแข็งใส,เพิ่มพิเศษ,10
803216,V10033100278,10,Y,ขนมหวาน น้ำแข็งใส,ใส่กล่องกลับบ้านเพิ่ม,7
803216,V10032400017,11,Y,ขนมหวาน น้ำแข็งใส,ขนมหวาน,40
803216,V10040100239,12,Y,ขนมหวาน น้ำแข็งใส,ขนมหวาน,45
803216,V10040100241,13,Y,ขนมหวาน น้ำแข็งใส,ขนมหวาน,50
803216,V10040200106,14,Y,ขนมหวาน น้ำแข็งใส,ขนมหวานอื่นๆ,52
803216,V10040700035,15,Y,ขนมหวาน น้ำแข็งใส,ขนมหวาน,59
803216,V10042100089,16,Y,ขนมหวาน น้ำแข็งใส,ขนมหวาน,60
803216,V10042000185,17,Y,ขนมหวาน น้ำแข็งใส,ขนมหวาน,69
803216,V10042000182,18,Y,ขนมหวาน น้ำแข็งใส,ขนมหวาน,55
803216,V251117002,100,Y,ขนมหวาน น้ำแข็งใส,Delivery,10
803217,V15081900004,1,Y,สกายลักค์,มันฝรั่งทอด/ไก่คาราเกะ,55
803217,V18090400001,2,Y,สกายลักค์,เกี๊ยวซ่า/เกี๊ยวฮังคู,59
803217,V10042000009,3,Y,สกายลักค์,ยากิโซบะ,65
803217,V14071400004,4,Y,สกายลักค์,ข้าวหน้าหมูซีอิ๊ว/ข้าวหน้าหมูกิมจิ,69
803217,V220804001,5,Y,สกายลักค์,ข้าวหน้าปลาอะเมซิ่ง,75
803217,V220804002,6,Y,สกายลักค์,ข้าวหน้าหมูตุ๋น,75
803217,V10061800005,7,Y,สกายลักค์,ข้าวหน้าหมูซามูไร / ซาบะ,80
803217,V18090400004,8,Y,สกายลักค์,สเต็กปลาซาบะ/ฟิชแอนด์ชิพ,80
803217,V15081900005,9,Y,สกายลักค์,สเต็กหมูเคเคน/สเต็กหมูกระเทียม,80
803217,V250630005,10,Y,สกายลักค์,ข้าวแกงกะหรี่ปลาทอด,90
803217,V10030500131,11,Y,สกายลักค์,ข้าวแกงกะหรี่หมู,100
803217,V10031600006,12,Y,สกายลักค์,ไข่ดาว,12
803217,V230511013,13,Y,สกายลักค์,เพิ่มซอส,15
803217,V10033100278,14,Y,สกายลักค์,ใส่กล่องกลับบ้านเพิ่ม,7
803217,V10031200023,15,Y,สกายลักค์,เมนูพิเศษ,69
803217,V10032200005,16,Y,สกายลักค์,เมนูพิเศษ,89
803217,V10042700052,17,Y,สกายลักค์,เมนูพิเศษ,4
