เลขร้านค้า,ชื่อร้านค้า,รายการไอเทม,ราคา
803207,เจมส์กะเพราถาด,ข้าวราดกระเพรารวมมิตร,85.00
803207,เจมส์กะเพราถาด,ข้าวคะน้าหมู / ไก่,60.00
803207,เจมส์กะเพราถาด,ข้าวไก่กระเทียม,60.00
803207,เจมส์กะเพราถาด,ข้าวหมูกระเทียม,60.00
803207,เจมส์กะเพราถาด,ข้าวคะน้าหมูกรอบ,70.00
803207,เจมส์กะเพราถาด,คะน้าทะเลรวม,75.00
803207,เจมส์กะเพราถาด,ข้าวผัดพริกแกงหมู,60.00
803207,เจมส์กะเพราถาด,พริกแกงหมูกรอบ,70.00
803207,เจมส์กะเพราถาด,ผัดพริกแกงทะเล,70.00
803207,เจมส์กะเพราถาด,ข้าวเปล่า/ไข่ดาว,12.00
803207,เจมส์กะเพราถาด,ไข่เยี่ยวม้า,15.00
803207,เจมส์กะเพราถาด,ใส่กล่องกลับบ้านเพิ่ม,7.00
803207,เจมส์กะเพราถาด,Delivery,10.00
803207,เจมส์กะเพราถาด,ข้าวกระเพราหมู,60.00
803207,เจมส์กะเพราถาด,ข้าวกระเพราไก่,55.00
803207,เจมส์กะเพราถาด,เพิ่มพิเศษ,15.00
803207,เจมส์กะเพราถาด,ข้าวกระเพราไข่เยี่ยวม้า,65.00
803207,เจมส์กะเพราถาด,ข้าวกระเพราหมูกรอบ,70.00
803208,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวเรือ,69.00
803208,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวเรือ พิเศษ,79.00
803208,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวน้ำตกหมู,87.00
803208,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวน้ำตก,107.00
803208,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวน้ำตก,127.00
803208,ก๋วยเตี๋ยวเรือ,ก๋วยเตี๋ยวแห้ง,99.00
803208,ก๋วยเตี๋ยวเรือ,เกาเหลา,79.00
803208,ก๋วยเตี๋ยวเรือ,เกาเหลาพิเศษ,89.00
803208,ก๋วยเตี๋ยวเรือ,เกาเหลาเนื้อ,109.00
803208,ก๋วยเตี๋ยวเรือ,เมนูชุด,129.00
803208,ก๋วยเตี๋ยวเรือ,เมนูชุด,149.00
803208,ก๋วยเตี๋ยวเรือ,เมนูชุด,159.00
803208,ก๋วยเตี๋ยวเรือ,เมนูชุด,179.00
803208,ก๋วยเตี๋ยวเรือ,ชุดน้ำพริก,250.00
803208,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,18.00
803208,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,28.00
803208,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,35.00
803208,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,40.00
803208,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,60.00
803208,ก๋วยเตี๋ยวเรือ,ชุดน้ำพริก,89.00
803208,ก๋วยเตี๋ยวเรือ,แคบหมู,25.00
803208,ก๋วยเตี๋ยวเรือ,ราเมง,89.00
803208,ก๋วยเตี๋ยวเรือ,ราเมงน้ำ,99.00
803208,ก๋วยเตี๋ยวเรือ,ใส่กล่องกลับบ้านเพิ่ม,8.00
803208,ก๋วยเตี๋ยวเรือ,เพิ่มพิเศษ,20.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวหมกไก่,55.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวหมกไก่,59.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวไข่เจียว,40.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวกระเพราไก่,49.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวไก่กระเทียม,49.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวไก่คั่วพริกเกลือ,55.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวผัดไก่,55.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวผัดผงกะหรี่,55.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ผัดซี้อิ้ว,55.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ราดหน้า,55.00
803209,ข้าวหมกไก่ย่างบังฟารุก,สปาเก็ตตี้,55.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ก๋วยเตี๋ยวคั่วไก่,55.00
803209,ข้าวหมกไก่ย่างบังฟารุก,สุกี้ไก่,55.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ผัดไทไก่,69.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวซอยไก่,59.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวซอยเนื้อ,79.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ไข่ดาว,15.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ไข่เจียว,20.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวหมกเปล่า,35.00
803209,ข้าวหมกไก่ย่างบังฟารุก,ข้าวเปล่า(ข้าวหอมมะลิ),15.00
803209,ข้าวหมกไก่ย่างบังฟารุก,เมนูอาหารชุด,89.00
803209,ข้าวหมกไก่ย่างบังฟารุก,เมนูอาหารชุด,129.00
803209,ข้าวหมกไก่ย่างบังฟารุก,Delivery,10.00
803210,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + แกงเขียวหวาน,70.00
803210,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + แกงเลียง,70.00
803210,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + แกงส้ม,70.00
803210,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + แกงเห็ด,70.00
803210,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + แกงป่า,70.00
803210,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + ต้มข่าไก่,70.00
803210,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + ต้มแซ่บ,70.00
803210,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียว + ต้มยำ,70.00
803210,ข้าวทิพย์อาหารชุด,เซ็ทข้าวไข่เจียว+ต้มจืดเต้าหู้หมูสับ,70.00
803210,ข้าวทิพย์อาหารชุด,ข้าวไข่เจียวหมูสับ,50.00
803210,ข้าวทิพย์อาหารชุด,ใส่กล่องกลับบ้านเพิ่ม,7.00
803210,ข้าวทิพย์อาหารชุด,Delivery,10.00
803211,ก๋วยเตี๋ยวเป็ด,ก๋วยเตี๋ยวเป็ดตุ๋น,65.00
803211,ก๋วยเตี๋ยวเป็ด,เกาเหลาเป็ด,75.00
803211,ก๋วยเตี๋ยวเป็ด,ข้าวหน้าเป็ด,65.00
803211,ก๋วยเตี๋ยวเป็ด,ข้าวกระเพราเป็ด,75.00
803211,ก๋วยเตี๋ยวเป็ด,มาม่าผัด,75.00
